Ref,Val,Package,PosX,PosY,Rot,Side
"J2","UART PGM","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",-49.550000,-43.180000,-90.000000,bottom
"J301","USB_B","USB_B_TE_5787834_Vertical",-72.410000,-43.872500,180.000000,bottom
"SW3","Input encoder","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",-15.505000,-44.490000,180.000000,bottom
"SW301","BOOT","SW_Push_1P1T_NO_6x6mm_H9.5mm",-59.690000,-50.165000,180.000000,bottom
"SW302","RESET","SW_Push_1P1T_NO_6x6mm_H9.5mm",-59.690000,-43.180000,180.000000,bottom
"U3","ESP32-WROOM-32","ESP32-WROOM-32U",-48.260000,-24.765000,0.000000,bottom
"U7","LCD-016N002L","WC1602A",-72.390000,-5.080000,180.000000,bottom
