Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0603_1608Metric,6.350000,-13.843000,180.000000,top
C2,22p,C_0603_1608Metric,-2.540000,-13.843000,180.000000,top
C3,10u,CP_Elec_4x5.4,-0.508000,25.146000,0.000000,top
C4,100n,C_0603_1608Metric,-1.524000,-10.414000,0.000000,top
R1,10k,R_0603_1608Metric,-15.494000,6.350000,270.000000,top
U1,ATmega168PA-AU,TQFP-32_7x7mm_P0.8mm,-9.525000,-7.493000,90.000000,top
U2,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,13.335000,-6.858000,270.000000,top
U3,MCP2561-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,10.795000,3.937000,270.000000,top
Y1,16MHz,Crystal_SMD_HC49-SD,2.540000,-17.653000,180.000000,top
